test,RR1,RR4,RR8,FCFS,FCFS.MULT,FCFS.MULT.DIST,SPN,SPN.MULT
1,208,201,191,157,68,80,118,52
2,202,200,192,160,72,78,114,52
3,212,209,207,164,75,81,121,54
4,177,168,161,129,57,63,111,49
5,212,207,197,152,67,72,122,54
